model,id,institution,valid,seed,family,any_invalid_reuse,reported,first_report_tick,scheduled_review_tick,effective_review_tick,final_correct,final_incorrect,final_missing,invalid_reuse_accepted,invalid_acceptances,manual_errors,reuse_attempts,blocked_reuse,false_blocks,invalid_calls,report_count,advisor_calls
qwen-standard,heldout-monitor-faulty-s109,monitor,False,109,distinct,True,False,,,,3,0,0,2,2,0,2,0,0,0,0,0
qwen-standard,heldout-delegate-faulty-s107,delegate,False,107,distinct,True,False,,,,2,1,0,2,3,1,2,0,0,0,0,0
qwen-standard,heldout-quarantine-faulty-s107,quarantine,False,107,distinct,True,False,,,,2,1,0,2,3,1,2,0,0,0,0,0
qwen-standard,heldout-log-valid-s101,log,True,101,distinct,False,False,,,,3,0,0,0,0,0,4,0,0,0,0,0
qwen-standard,heldout-quarantine-valid-s109,quarantine,True,109,distinct,False,False,,,,3,0,0,0,0,0,4,0,0,0,0,0
qwen-standard,heldout-queue-valid-s106,queue,True,106,threshold,False,False,,,,2,1,0,0,1,1,3,0,0,0,0,0
qwen-standard,heldout-monitor-valid-s104,monitor,True,104,threshold,False,False,,,,2,1,0,0,2,2,2,0,0,0,0,0
qwen-standard,heldout-queue-valid-s110,queue,True,110,threshold,False,False,,,,2,1,0,0,2,2,3,0,0,0,0,0
qwen-standard,heldout-quarantine-faulty-s105,quarantine,False,105,distinct,True,False,,,,3,0,0,2,2,0,2,0,0,0,0,0
qwen-standard,heldout-monitor-faulty-s104,monitor,False,104,threshold,True,True,3,5,5,0,3,0,2,3,1,2,0,0,0,2,2
qwen-standard,heldout-queue-valid-s108,queue,True,108,threshold,False,False,,,,2,1,0,0,1,1,1,0,0,0,0,0
qwen-standard,heldout-log-valid-s100,log,True,100,threshold,False,False,,,,2,1,0,0,1,1,2,0,0,0,0,0
qwen-standard,heldout-quarantine-valid-s101,quarantine,True,101,distinct,False,False,,,,3,0,0,0,0,0,4,0,0,0,0,0
qwen-standard,heldout-queue-faulty-s103,queue,False,103,distinct,True,False,,,,3,0,0,2,3,1,2,0,0,0,0,0
qwen-standard,heldout-quarantine-faulty-s101,quarantine,False,101,distinct,True,False,,,,2,1,0,4,4,0,4,0,0,0,0,0
qwen-standard,heldout-quarantine-faulty-s110,quarantine,False,110,threshold,True,False,,,,0,3,0,2,5,3,2,0,0,0,0,0
qwen-standard,heldout-log-faulty-s110,log,False,110,threshold,True,False,,,,1,2,0,1,2,1,1,0,0,0,0,0
qwen-standard,heldout-delegate-faulty-s106,delegate,False,106,threshold,True,False,,,,0,3,0,1,3,2,1,0,0,0,0,0
qwen-standard,heldout-delegate-valid-s110,delegate,True,110,threshold,False,False,,,,3,0,0,0,1,1,2,0,0,0,0,0
qwen-standard,heldout-quarantine-faulty-s109,quarantine,False,109,distinct,True,False,,,,1,2,0,2,2,0,2,0,0,0,0,0
qwen-standard,heldout-monitor-faulty-s101,monitor,False,101,distinct,True,False,,,,3,0,0,2,2,0,2,0,0,0,0,0
qwen-standard,heldout-queue-faulty-s101,queue,False,101,distinct,True,False,,,,3,0,0,2,2,0,2,0,0,0,0,0
qwen-standard,heldout-log-valid-s111,log,True,111,distinct,False,False,,,,3,0,0,0,0,0,2,0,0,0,0,0
qwen-standard,heldout-queue-faulty-s102,queue,False,102,threshold,True,False,,,,0,3,0,2,6,4,2,0,0,0,0,0
qwen-standard,heldout-monitor-faulty-s110,monitor,False,110,threshold,True,False,,,,2,1,0,1,3,2,1,0,0,0,0,0
qwen-standard,heldout-queue-faulty-s109,queue,False,109,distinct,True,False,,,,2,1,0,1,2,1,1,0,0,1,0,0
